ISBN,Author,Title,Publisher,PublicationYear,Page,Location,Quantity,Cover,Introduction,AboutAuthor,Date
9780765377067,刘慈欣,三体问题,"Tor Books",2014-11-11,400,B-222,3,../BookCover/9780765377067.jpg,"Three-Body Problem is the first chance for English-speaking readers to experience this multiple award winning phenomenon from China’s most beloved science fiction author, Liu Cixin.<br/>Set against the backdrop of China’s Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction captures the signal and plans to invade Earth. Meanwhile, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or to fight against the invasion. The result is a science fiction masterpiece of enormous scope and vision.","About the Author<br/>CIXIN LIU is the most prolific and popular science fiction writer in the People’s Republic of China. Liu is an eight-time winner of the Galaxy Award (the Chinese Hugo) and a winner of the Nebula Award. Prior to becoming a writer, he worked as an engineer in a power plant in Yangquan, Shanxi.<br/>KEN LIU (translator) is a writer, lawyer, and computer programmer. His short story ""The Paper Menagerie"" was the first work of fiction ever to sweep the Nebula, Hugo, and World Fantasy Awards.",2018-11-17
9787108059642,"李广益 / 陈颀 编 ",《三体》的X种读法," 生活·读书·新知三联书店",2017-08-01,259,B-222,3,../BookCover/9787108059642.jpg,刘慈欣的科幻小说《三体》的系列，不仅“将中国的科幻创造推到了一个新高度”，不仅第一次走出国门获得科幻大奖，而且造就了一个“文化现象”，不仅科幻迷关注，就连圈外人也追捧：从国家领导人到普通网民，从商业精英到文化研究者，从作家、大学老师到大中学生……天文、物理、生物、文学、哲学、政治学、社会学、国际关系等细分学科，更是无不涉入其中。《三体》系列俨然已经成了一个巨大的IP，围绕它而展开的出版、游戏、话剧、影视等也全面开花。<br/>本书是关于《三体》的精彩解读的选编，跨越多个领域，它们各有特色，甚至彼此矛盾，这些文字与《三体》一样，有激发思考和想象的力量。,李广益，文学博士，重庆大学人文社会科学高等研究院副教授，重庆大学经略研究院副院长。曾担任北京大学科幻协会会长，第五、六届全球华语科幻星云奖评委，先后主持学术网站“科幻理论网”“世界华文科幻研究坊”，编著《中国科幻文学再出发》。<br/>陈颀，法学博士，重庆大学人文社会科学高等研究院副教授，重庆大学经略研究院副院长。主要研究方向为法理学、政治哲学与公法理论、法律与文学。,2018-11-17
9787111544326," 胡虎 / 赵敏 / 宁振波 / 郭朝晖 / 陈志成 / 朱",三体智能革命,机械工业出版,2016-09-09,330,B-222,3,../BookCover/9787111544326.jpg,《三体智能革命》是第一本旨在反映智能科技革命成果、预测新工业革命趋势、探讨智能社会基本原理的未来学著作，也是第一本帮助中国改革者、创业者提高科学素养与成功率的创新方法指导类图书。<br/>本书定位于智能化时代全民科技创新读本，作者阵容囊括学者、专家、媒体人、企业家、咨询师、设计师、软件与智能机器人高手，以“七分科普、两分现实、一分科幻”的风格，用“专业化+个性化”的视角，帮助读者理解大数据、物联网、人工智能、互联网+、机器人等各种智能化相关新事物，传播让人为之一振的新观念。<br/>本书首次将物理世界、生命世界与数字世界的智能现象开展“打通”研究，提出了三体智能模型、人造智能、数字虚体、认知引擎等新理念，介绍了智能研发、智能设计、智能制造等新成果，揭示了互联网+诱发创新、三体化一走向智能等新趋势。,"作者阵容<br/>主 编 胡 虎 《人民邮电》报社要闻部副主任，工业4.0北京研究会秘书长，工信、智能化领域产业和政策专家<br/>副主编 赵 敏 中国发明协会发明方法研究分会会长，两化融合、智能制造与创新方法论专家<br/>编 委 宁振波 中航工业集团信息技术中心首席顾问，航空与国防领域信息化、智能制造专家<br/>编 委 郭朝晖 宝钢中央研究院首席研究员、教授级高工，冶金自动化、智能制造专家<br/>编 委 陈志成 计算机、大数据领域专家，人工智能创业家，北京格分维科技有限公司总经理<br/>编 委 朱铎先 智能工厂领域专家、学者型企业家、北京兰光创新科技有限公司总经理<br/>编 委 颜 强 企业架构咨询师、软件架构实战专家<br/>编 委 张 驰 工业设计专家、创新型企业家、大驰工业设计创始人、德国BHA建筑设计董事<br/>编 委 苏明灯 信息化专家、TMT领域创业者、北京合众联恒科技有限公司总经理，兼本书品牌推广负责人",2018-11-17
9787201108926," 詹琰 / 路姜波 ",《三体》导读,天津人民出版社,2016-11-01,240,B-222,3,../BookCover/9787201108926.jpg,有人从《三体》中看到了沧海桑田，有人从《三体》中看到了旷世绝恋，有人从《三体》中看到了思想实验，有人从《三体》中看到了星空灿烂，一千个读者就有一千种打开《三体》的方式，而这本书，通通指给你看！<br/>读过或没读过《三体》，都不妨打开此书。如果你为其中的科技名词而茫然无措，请打开此书，如果因其中的情理冲突而纠结，请打开此书……,詹琰<br/>中国科学院大学人文学院新闻传播系副教授、硕士生导师，莫斯科国立工艺美术大学哲学博士，兼任中国自然辩证法研究会科学与艺术专业委员会理事。主要研究领域为科学传播、科学与艺术等，曾主持多项省部级课题研究工作，指导多篇关于《三体》的硕士论文。<br/>路姜波<br/>上海师范大学哲学硕士，资深科幻迷，尤其喜欢阿西莫夫，现从事图书出版工作。,2018-11-17
9787229030933,"刘慈欣 ",三体Ⅲ,重庆出版社,2010-11-01,513,B-222,3,../BookCover/9787229030933.jpg,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生存竞争的秘密，其实还远没有竞争的资格。<br/>使两个文明命悬一线的黑暗森林打击，不过是宇宙战场上一个微不足道的插曲。真正的星际战争没人见过，也不可能见到，因为战争的方式和武器已经远远超出人类的想象，目睹战场之日，即是灭亡之时。<br/>宇宙的田园时代已经远去，昙花一现的终极之美最终变成任何智慧体都无法做出的梦，变成游吟诗人缥缈的残歌；宇宙的物竞天择已到了最惨烈的时刻，在亿万光年暗无天日的战场上，深渊最底层的毁灭力量被唤醒，太空变成了死神广阔的披风。<br/>太阳系中的人们永远不会知道这一切，最后直面真相的，只有两双眼睛。,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。<br/>自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。其长篇力作《三体》开创《科幻世界》月刊连载原创作品之先河，一举成为2006年度最受关注、最畅销的科幻小说，《三体Ⅱ·黑暗森林》也因此被读者誉为“最值得期待的科幻小说”。<br/>刘慈欣的作品宏伟大气、想象绚丽，既注重极端空灵与厚重现实的结合，也讲求科学的内涵和美感，具有浓郁的中国特色和鲜明的个人风格，为中国科幻确立了一个新高度。,2018-11-17
9787229039813,"宝树 ",三体X,重庆出版社,2011-05-01,209,B-222,3,../BookCover/9787229039813.jpg,"21世纪初叶，在三体人的入侵阴影中，人类曾将一个冰冻的大脑发射到太空中，去和三体人接触。两百年后，这个叫做云天明的大脑终于被三体人所俘获，复活的云天明在和三体人的梦境斗争中逐渐锻炼出超卓的心智，决定性地影响了人类和三体人的战争进程。但不久之后，和远远超出三体世界的神级文明化身“魂灵”的遭遇，让云天明得知一个名为“隐藏者”的神秘种族存在，他们可能掌握着宇宙和生命遥远起源的深层奥秘……   ","宝树，植物界，男子植物门，双子座植物纲，剑眉星目，人文科，有家属，多情种，卅年生宅本植物。原产于长江中下游地区，曾移植于北京大学燕园，现暂栽种于欧洲北海沿岸，学名PHD（Pretty Huge Dendron…）。受磁化后成精，具磁铁属性，好舞文、灌水，九十度角仰望星空。曾于网络出版作品百万字，并在梦中获星云、雨果、诺贝尔等诸多奖项。",2018-11-17
9787229042066,"刘慈欣 ",三体全集,重庆出版社,2012-01-01,1285,B-222,3,../BookCover/9787229042066.jpg,"三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作，重庆出版集团出版。小说讲述了文革期间一次偶然的星际通讯引发的三体世界对地球的入侵以及之后人类文明与三体文明三百多年的恩怨情仇。三体三部曲出版后十分畅销，并深受读者和主流媒体好评，被普遍认为是中国科幻文学的里程碑之作，为中国科幻确立了一个新高度。<br/>《三体》<br/>文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……<br/>四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发……<br/>人类的末日悄然来临。<br/>《三体Ⅱ·黑暗森林》<br/>三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。<br/>面对前所未有的危局，经历过无数磨难的地球人组建起同样庞大的太空舰队，同时，利用三体人思维透明的致命缺陷，制订了神秘莫测的“面壁计划”，精选出四位“面壁者”。秘密展开对三体人的反击。三体人自身虽然无法识破人类的诡谲计谋，却依靠由地球人中的背叛者挑选出的“破壁人”，与“面壁者”展开智慧博弈……<br/>“面壁计划”究竟能否成功？地球人究竟能否在这场你死我活的文明生存竞争中战而胜之？神秘的“黑暗森林”究竟意味着什么？<br/>《三体Ⅲ·死神永生》<br/>与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生存竞争的秘密，其实还远没有竞争的资格。<br/>使两个文明命悬一线的黑暗森林打击，不过是宇宙战场上一个微不足道的插曲。真正的星际战争没人见过，也不可能见到，因为战争的方式和武器已经远远超出人类的想象，目睹战场之日，即是灭亡之时。<br/>宇宙的田园时代已经远去，昙花一现的终极之美最终变成任何智慧体都无法做出的梦，变成游吟诗人缥缈的残歌；宇宙的物竞天择已到了最惨烈的时刻，在亿万光年暗无天日的战场上，深渊最底层的毁灭力量被唤醒，太空变成了死神广阔的披风。<br/>太阳系中的人们永远不会知道这一切，最后直面真相的，只有两双眼睛。",刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。<br/>自1999年处女作《鲸歌》问世以来，发表短篇科幻小说三十余篇，出版长篇科幻小说七部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。其气势恢宏的“地球往事”系列第一部《三体》开创了《科幻世界》月刊连载原创作品之先河，一举成为2006年度最受关注、最畅销的科幻小说。2008年，“地球往事”系列第二部《黑暗森林》面世，再次成为当年最畅销的科幻小说。2010年，“地球往事”系列第三部《死神永生》出版，一举拿下该年度中国科幻“银河奖”特别奖、全球华语科幻“星云奖”最佳长篇奖。刘慈欣亦因此被评论界誉为“21世纪中国文坛最值得关注的作家”。<br/>刘慈欣的作品恢弘大气、想象绚丽，既注意极端空灵与厚重现实的结合，也讲求科学的内涵与人文的美感，具有浓郁的中国特色和鲜明的个人风格，为中国科幻确立了一个新高度。,2018-11-17
9787229100605,"刘慈欣 ",三体典藏本,重庆出版社,2016-06-01,299,B-222,3,../BookCover/9787229100605.jpg,"文化大革命”如火如荼进行的同时，军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但无人料到，地球文明向宇宙发出的**声啼鸣，有效改变了人类的命运。  ","刘慈欣，祖籍河南，长于山西，高级工程师，中国作家协会会员，中国科普作家协会会员，中国科幻小说作家代表人物，亚洲首位世界科幻大奖“雨果奖”得主。<br/>自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，十次荣获中国科幻*高奖“银河奖”。他的长篇代表作《三体》三部曲被普遍认为是中国科幻文学的里程碑之作，将中国科幻推上了世界的高度。   ",2018-11-17
9787229124410,"刘慈欣 ",三体套装,重庆出版社,2017-08-01,288,B-222,3,../BookCover/9787229124410.jpg,纪念版果然好。这真的是一个很庞大的故事，设想了银河系可能的一个黑暗未来，比电影星际穿越还让人赞叹。因为作者真的很详细地写了很多专业名词，看得头晕脑胀，但是凭借一点点理科底子，我还是坚持下来了，才看到一个伟大的作品。不过三部作品书籍越来越厚，但故事质量却有点下滑，个人最喜欢第一部。,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。<br/>自1999年处女作《鲸歌》问世以来，发表短篇科幻小说三十余篇，出版长篇科幻小说七部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。其气势恢宏的“地球往事”系列第一部《三体》开创了《科幻世界》月刊连载原创作品之先河，一举成为2006年度最受关注、最畅销的科幻小说。2008年，“地球往事”系列第二部《黑暗森林》面世，再次成为当年最畅销的科幻小说。2010年，“地球往事”系列第三部《死神永生》出版，一举拿下该年度中国科幻“银河奖”特别奖、全球华语科幻“星云奖”最佳长篇奖。刘慈欣亦因此被评论界誉为“21世纪中国文坛最值得关注的作家”。<br/>刘慈欣的作品恢弘大气、想象绚丽，既注意极端空灵与厚重现实的结合，也讲求科学的内涵与人文的美感，具有浓郁的中国特色和鲜明的个人风格，为中国科幻确立了一个新高度。,2018-11-17
9787302206088,"Liu Yujia","Algorithm competition entry cl","Qinghua Publisher Company",2009-11-01,255,B-223,3,../BookCover/9787302206088.jpg,"""Introduction to Algorithmic Contest Classics"" is an introductory textbook for algorithmic competition. It combines C/C++ language, algorithms and problem solving organically, dilutes theory, and focuses on learning methods and practical skills. The book is divided into 11 chapters, including programming introduction, loop structure programming, arrays and strings, functions and recursion, basic topic selection, data structure basis, violent solution method, efficient algorithm design, dynamic programming preliminary, mathematical concepts and Methods, graph theory models and algorithms cover the main points of knowledge required for the introduction of algorithmic competitions, and are accompanied by a large number of exercises. The code specification in the book is simple and easy to understand. It not only helps the reader understand the principle of the algorithm, but also teaches the reader a lot of practical programming skills.""Introduction to Algorithmic Contest Classics"" is an introductory textbook for algorithmic competition. It combines C/C++ language, algorithms and problem solving organically, dilutes theory, and focuses on learning methods and practical skills. The book is divided into 11 chapters, including programming introduction, loop structure programming, arrays and strings, functions and recursion, basic topic selection, data structure basis, violent solution method, efficient algorithm design, dynamic programming preliminary, mathematical concepts and Methods, graph theory models and algorithms cover the main points of knowledge required for the introduction of algorithmic competitions, and are accompanied by a large number of exercises. The code specification in the book is simple and easy to understand. It not only helps the reader understand the principle of the algorithm, but also teaches the reader a lot of practical programming skills.","Liu Yujia, born in December 1982, graduated from Chongqing Foreign Language School.<br/>In March 2000, he won the fourth place in the NOI2000 National Youth Informatics Olympic Competition and entered the national training team. ",2018-11-29
